"orden","tipo","script","objeto","paquete","procedimiento","log","estado_traza","prioridad","oleada","origen_wrapper","observacion"
"100","DB","/stbybackup/scripts_proc_nocturnos/costos_lic.sql","P_MAIL.ENVIO_MAIL_ERROR","P_MAIL","ENVIO_MAIL_ERROR","/stbybackup/logs_coeasy_nocturnos/COSTOS.log","pendiente","media","2","COSTOS.sql","Llamado interno detectado en costos_lic.sql linea 831"
"101","DB","/stbybackup/scripts_proc_nocturnos/costos_pp.sql","costos_pp","","","/stbybackup/logs_coeasy_nocturnos/COSTOS.log","pendiente","media","2","COSTOS.sql","Referencia @@ detectada en COSTOS.sql linea 10"
"102","DB","/stbybackup/scripts_proc_nocturnos/costos_pp.sql","P_MAIL.ENVIO_MAIL_ERROR","P_MAIL","ENVIO_MAIL_ERROR","/stbybackup/logs_coeasy_nocturnos/COSTOS.log","pendiente","media","2","COSTOS.sql","Llamado interno detectado en costos_pp.sql linea 630"
"103","DB","/stbybackup/scripts_proc_nocturnos/costos_div.sql","costos_div","","","/stbybackup/logs_coeasy_nocturnos/COSTOS.log","pendiente","media","2","COSTOS.sql","Referencia @@ detectada en COSTOS.sql linea 11"
"104","DB","/stbybackup/scripts_proc_nocturnos/costos_div.sql","P_MAIL.ENVIO_MAIL_ERROR","P_MAIL","ENVIO_MAIL_ERROR","/stbybackup/logs_coeasy_nocturnos/COSTOS.log","pendiente","media","2","COSTOS.sql","Llamado interno detectado en costos_div.sql linea 557"
"105","DB","/stbybackup/scripts_proc_nocturnos/costos_ofo.sql","costos_ofo","","","/stbybackup/logs_coeasy_nocturnos/COSTOS.log","pendiente","media","2","COSTOS.sql","Referencia @@ detectada en COSTOS.sql linea 12"
"106","DB","/stbybackup/scripts_proc_nocturnos/costos_ofo.sql","P_MAIL.ENVIO_MAIL_ERROR","P_MAIL","ENVIO_MAIL_ERROR","/stbybackup/logs_coeasy_nocturnos/COSTOS.log","pendiente","media","2","COSTOS.sql","Llamado interno detectado en costos_ofo.sql linea 556"
"107","DB","/stbybackup/scripts_proc_nocturnos/costos_odp.sql","costos_odp","","","/stbybackup/logs_coeasy_nocturnos/COSTOS.log","pendiente","media","2","COSTOS.sql","Referencia @@ detectada en COSTOS.sql linea 13"
"108","DB","/stbybackup/scripts_proc_nocturnos/costos_odp.sql","P_MAIL.ENVIO_MAIL_ERROR","P_MAIL","ENVIO_MAIL_ERROR","/stbybackup/logs_coeasy_nocturnos/COSTOS.log","pendiente","media","2","COSTOS.sql","Llamado interno detectado en costos_odp.sql linea 357"
"109","DB","/stbybackup/scripts_proc_nocturnos/costos_adval.sql","costos_adval","","","/stbybackup/logs_coeasy_nocturnos/COSTOS.log","pendiente","media","2","COSTOS.sql","Referencia @@ detectada en COSTOS.sql linea 14"
"110","DB","/stbybackup/scripts_proc_nocturnos/costos_adval.sql","P_MAIL.ENVIO_MAIL_ERROR","P_MAIL","ENVIO_MAIL_ERROR","/stbybackup/logs_coeasy_nocturnos/COSTOS.log","pendiente","media","2","COSTOS.sql","Llamado interno detectado en costos_adval.sql linea 381"
"111","DB","/stbybackup/scripts_proc_nocturnos/generacion_saldo_diario.sql","generacion_saldo_diario","","","/stbybackup/logs_coeasy_nocturnos/COSTOS.log","pendiente","media","2","COSTOS.sql","Referencia @@ detectada en COSTOS.sql linea 19"
"112","DB","/stbybackup/scripts_proc_nocturnos/saldos_fondoaccion.sql","saldos_fondoaccion","","","/stbybackup/logs_coeasy_nocturnos/COSTOS.log","pendiente","media","2","COSTOS.sql","Referencia @@ detectada en COSTOS.sql linea 20"
"113","DB","/stbybackup/scripts_proc_nocturnos/saldos_fondoaccion.sql","P_MAIL.ENVIO_MAIL_ERROR","P_MAIL","ENVIO_MAIL_ERROR","/stbybackup/logs_coeasy_nocturnos/COSTOS.log","pendiente","media","2","COSTOS.sql","Llamado interno detectado en saldos_fondoaccion.sql linea 94"
"114","DB","/stbybackup/scripts_proc_nocturnos/costo_general_operaciones.sql","costo_general_operaciones","","","/stbybackup/logs_coeasy_nocturnos/COSTOS.log","pendiente","media","2","COSTOS.sql","Referencia @@ detectada en COSTOS.sql linea 23"
"115","DB","/stbybackup/scripts_proc_nocturnos/costo_general_operaciones.sql","P_WEB_EXTRACTO.DIA_HABIL","P_WEB_EXTRACTO","DIA_HABIL","/stbybackup/logs_coeasy_nocturnos/COSTOS.log","pendiente","media","2","COSTOS.sql","Llamado interno detectado en costo_general_operaciones.sql linea 322"
"116","DB","/stbybackup/scripts_proc_nocturnos/costo_general_operaciones.sql","P_MAIL.ENVIO_MAIL_ERROR","P_MAIL","ENVIO_MAIL_ERROR","/stbybackup/logs_coeasy_nocturnos/COSTOS.log","pendiente","media","2","COSTOS.sql","Llamado interno detectado en costo_general_operaciones.sql linea 370"
"117","DB","/stbybackup/scripts_proc_nocturnos/costo_saldos_diarios.sql","costo_saldos_diarios","","","/stbybackup/logs_coeasy_nocturnos/COSTOS.log","pendiente","media","2","COSTOS.sql","Referencia @@ detectada en COSTOS.sql linea 28"
"118","DB","/stbybackup/scripts_proc_nocturnos/costo_saldos_diarios.sql","P_MAIL.ENVIO_MAIL_ERROR","P_MAIL","ENVIO_MAIL_ERROR","/stbybackup/logs_coeasy_nocturnos/COSTOS.log","pendiente","media","2","COSTOS.sql","Llamado interno detectado en costo_saldos_diarios.sql linea 229"
